date,base_rate
2020-01,1.25
2020-02,1.25
2020-03,0.75
2020-04,0.75
2020-05,0.5
2020-06,0.5
2020-07,0.5
2020-08,0.5
2020-09,0.5
2020-10,0.5
2020-11,0.5
2020-12,0.5
2021-01,0.5
2021-02,0.5
2021-03,0.5
2021-04,0.5
2021-05,0.5
2021-06,0.5
2021-07,0.5
2021-08,0.75
2021-09,0.75
2021-10,0.75
2021-11,1
2021-12,1
2022-01,1.25
2022-02,1.25
2022-03,1.25
2022-04,1.5
2022-05,1.75
2022-06,1.75
2022-07,2.25
2022-08,2.5
2022-09,2.5
2022-10,3
2022-11,3.25
2022-12,3.25
2023-01,3.5
2023-02,3.5
2023-03,3.5
2023-04,3.5
2023-05,3.5
2023-06,3.5
2023-07,3.5
2023-08,3.5
2023-09,3.5
2023-10,3.5
2023-11,3.5
2023-12,3.5
2024-01,3.5
2024-02,3.5
2024-03,3.5
2024-04,3.5
2024-05,3.5
2024-06,3.5
2024-07,3.5
2024-08,3.5
2024-09,3.5
2024-10,3.25
2024-11,3
2024-12,3
2025-01,3
2025-02,2.75
2025-03,2.75
2025-04,2.75
2025-05,2.5
2025-06,2.5
2025-07,2.5
2025-08,2.5
2025-09,2.5
2025-10,2.5
2025-11,2.5
2025-12,2.5
